round,accuracy,client_type,malicious_ratio
7,0.6415,small_4,4
8,0.6423,small_4,4
9,0.6405000000000001,small_4,4
10,0.6361,small_4,4
11,0.6388,small_4,4
12,0.6383,small_4,4
13,0.635,small_4,4
14,0.6322,small_4,4
15,0.6308,small_4,4
16,0.6323000000000001,small_4,4
17,0.6285000000000001,small_4,4
18,0.6315999999999999,small_4,4
19,0.6311,small_4,4
20,0.6311,small_4,4
21,0.6311,small_4,4
22,0.6323000000000001,small_4,4
23,0.6328,small_4,4
24,0.6331,small_4,4
25,0.633,small_4,4
26,0.633,small_4,4
27,0.6334,small_4,4
28,0.6338,small_4,4
29,0.6324,small_4,4
30,0.633,small_4,4
1,0.5757999999999999,lazy_1,1
2,0.6272,lazy_1,1
3,0.6445000000000001,lazy_1,1
4,0.6536000000000001,lazy_1,1
5,0.6586000000000001,lazy_1,1
6,0.6658000000000001,lazy_1,1
7,0.6689,lazy_1,1
8,0.6729,lazy_1,1
9,0.6749,lazy_1,1
10,0.6745,lazy_1,1
11,0.6766,lazy_1,1
12,0.6752,lazy_1,1
13,0.6779,lazy_1,1
14,0.6737,lazy_1,1
15,0.6774,lazy_1,1
16,0.6716,lazy_1,1
17,0.6732,lazy_1,1
18,0.6727000000000001,lazy_1,1
19,0.6679,lazy_1,1
20,0.6679,lazy_1,1
21,0.6688000000000001,lazy_1,1
22,0.6666000000000001,lazy_1,1
23,0.668,lazy_1,1
24,0.6674,lazy_1,1
25,0.6637000000000001,lazy_1,1
26,0.6645000000000001,lazy_1,1
27,0.6613,lazy_1,1
28,0.6655,lazy_1,1
29,0.6671,lazy_1,1
30,0.6666000000000001,lazy_1,1
1,0.5612,lazy_2,2
2,0.6285000000000001,lazy_2,2
3,0.6532,lazy_2,2
4,0.6589,lazy_2,2
5,0.6679,lazy_2,2
6,0.671,lazy_2,2
7,0.6727000000000001,lazy_2,2
8,0.6738000000000001,lazy_2,2
9,0.6740999999999999,lazy_2,2
10,0.6748000000000001,lazy_2,2
11,0.6766,lazy_2,2
12,0.6744000000000001,lazy_2,2
13,0.6736000000000001,lazy_2,2
14,0.6747000000000001,lazy_2,2
15,0.6746000000000001,lazy_2,2
16,0.6707000000000001,lazy_2,2
17,0.6729,lazy_2,2
18,0.6705,lazy_2,2
19,0.6708000000000001,lazy_2,2
20,0.6685000000000001,lazy_2,2
21,0.6693,lazy_2,2
22,0.6683000000000001,lazy_2,2
23,0.6703,lazy_2,2
24,0.6664000000000001,lazy_2,2
25,0.6667000000000001,lazy_2,2
26,0.6673,lazy_2,2
27,0.6637000000000001,lazy_2,2
28,0.6642,lazy_2,2
29,0.6644,lazy_2,2
30,0.6647000000000001,lazy_2,2
1,0.5321,lazy_3,3
2,0.6083999999999999,lazy_3,3
3,0.6302,lazy_3,3
4,0.6412,lazy_3,3
5,0.6521,lazy_3,3
6,0.6565000000000001,lazy_3,3
7,0.6594,lazy_3,3
8,0.6612,lazy_3,3
9,0.6634,lazy_3,3
10,0.666,lazy_3,3
11,0.6637000000000001,lazy_3,3
12,0.6616000000000001,lazy_3,3
13,0.6614,lazy_3,3
14,0.6602,lazy_3,3
15,0.6601,lazy_3,3
16,0.6554,lazy_3,3
17,0.6595000000000001,lazy_3,3
18,0.6554,lazy_3,3
19,0.6557999999999999,lazy_3,3
20,0.6535,lazy_3,3
21,0.6544000000000001,lazy_3,3
22,0.6498,lazy_3,3
23,0.6496000000000001,lazy_3,3
24,0.6516,lazy_3,3
25,0.6501,lazy_3,3
26,0.6487,lazy_3,3
27,0.6501,lazy_3,3
28,0.6517000000000001,lazy_3,3
29,0.6533,lazy_3,3
30,0.6541,lazy_3,3
1,0.5016,lazy_4,4
2,0.6149,lazy_4,4
3,0.6448,lazy_4,4
4,0.6538,lazy_4,4
5,0.6608,lazy_4,4
6,0.6628000000000001,lazy_4,4
7,0.6662,lazy_4,4
8,0.6645000000000001,lazy_4,4
9,0.6657,lazy_4,4
10,0.664,lazy_4,4
11,0.6648000000000001,lazy_4,4
12,0.6623,lazy_4,4
13,0.6612,lazy_4,4
14,0.6622,lazy_4,4
15,0.6624000000000001,lazy_4,4
16,0.6612,lazy_4,4
17,0.6604,lazy_4,4
18,0.6557999999999999,lazy_4,4
19,0.6547000000000001,lazy_4,4
20,0.6554,lazy_4,4
21,0.6524,lazy_4,4
22,0.6549,lazy_4,4
23,0.6522,lazy_4,4
24,0.6557000000000001,lazy_4,4
25,0.6551,lazy_4,4
26,0.654,lazy_4,4
27,0.6527000000000001,lazy_4,4
28,0.6548,lazy_4,4
29,0.652,lazy_4,4
30,0.6546000000000001,lazy_4,4
1,0.5768,mix_0,0
2,0.6371,mix_0,0
3,0.6521,mix_0,0
4,0.6607000000000001,mix_0,0
5,0.6712,mix_0,0
6,0.6705,mix_0,0
7,0.6719,mix_0,0
8,0.6788000000000001,mix_0,0
9,0.677,mix_0,0
10,0.6753,mix_0,0
11,0.6741,mix_0,0
12,0.6743,mix_0,0
13,0.675,mix_0,0
14,0.6745,mix_0,0
15,0.6729,mix_0,0
16,0.6729,mix_0,0
17,0.6722,mix_0,0
18,0.6701,mix_0,0
19,0.6695,mix_0,0
20,0.6656000000000001,mix_0,0
21,0.6642,mix_0,0
22,0.6662,mix_0,0
23,0.6622,mix_0,0
24,0.6637000000000001,mix_0,0
25,0.6635,mix_0,0
26,0.6658999999999999,mix_0,0
27,0.663,mix_0,0
28,0.6646000000000001,mix_0,0
29,0.6642,mix_0,0
30,0.6646000000000001,mix_0,0
1,0.1782,all_0,0
2,0.2479,all_0,0
3,0.26539999999999997,all_0,0
4,0.2671,all_0,0
5,0.3003,all_0,0
6,0.2718,all_0,0
7,0.3476,all_0,0
8,0.3451,all_0,0
9,0.32280000000000003,all_0,0
10,0.335,all_0,0
11,0.274,all_0,0
12,0.34409999999999996,all_0,0
13,0.34950000000000003,all_0,0
14,0.3538,all_0,0
15,0.36869999999999997,all_0,0
16,0.35910000000000003,all_0,0
17,0.343,all_0,0
18,0.3517,all_0,0
19,0.3564,all_0,0
20,0.38120000000000004,all_0,0
21,0.3514,all_0,0
22,0.3344,all_0,0
23,0.3508,all_0,0
24,0.2575,all_0,0
25,0.3548,all_0,0
26,0.3085,all_0,0
27,0.3404,all_0,0
28,0.3367,all_0,0
29,0.3629,all_0,0
30,0.37320000000000003,all_0,0
